Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Taiwan,Asia,23815914,446,7,435,4,19,0.3,75359,3164,WesternPacific
Tajikistan,Asia,9531066,5513,52,4039,1422,578,5,Not Available,Not Available,Europe
Tanzania,Africa,59676355,509,21,183,305,9,0.4,Not Available,Not Available,Africa
Thailand,Asia,69796420,3156,58,3023,75,45,0.8,468175,6708,South-EastAsia
Timor-Leste,Asia,1317720,24,Not Available,24,0,18,Not Available,1568,1190,South-EastAsia
Togo,Africa,8272662,569,13,380,176,69,2,28065,3392,Africa
Trinidad and Tobago,North America,1399394,123,8,109,6,88,6,4331,3095,Americas
Tunisia,Africa,11815605,1159,50,1020,89,98,4,67234,5690,EasternMediterranean
Turkey,Asia,84316812,188897,4974,161533,22390,2240,59,2986653,35422,Europe
Turks and Caicos,North America,38703,14,1,11,2,362,26,416,10749,Not Available
UAE,Asia,9887390,45303,303,33046,11954,4582,31,3038000,307260,EasternMediterranean
UK,Europe,67878273,305289,42647,Not Available,Not Available,4498,628,8029757,118296,Europe
USA,North America,330959930,2388225,122611,1003062,1262552,7216,370,29027198,87706,Americas
Uganda,Africa,45689386,774,Not Available,631,143,17,Not Available,170789,3738,Africa
Ukraine,Europe,43737992,38074,1035,16956,20083,871,24,580814,13279,Europe
Uruguay,South America,3473480,882,25,815,42,254,7,57687,16608,Americas
Uzbekistan,Asia,33456364,6500,19,4450,2031,194,0.6,1038575,31043,Europe
Vatican City,Europe,801,12,Not Available,12,0,14981,Not Available,Not Available,Not Available,Europe
Venezuela,South America,28437362,4048,35,1327,2686,142,1,1143648,40216,Americas
Vietnam,Asia,97317898,349,Not Available,328,21,4,Not Available,275000,2826,WesternPacific
Western Sahara,Africa,596871,10,1,8,1,17,2,Not Available,Not Available,Africa
Yemen,Asia,29805944,967,257,350,360,32,9,120,4,EasternMediterranean
Zambia,Africa,18366582,1430,11,1194,225,78,0.6,47968,2612,Africa
Zimbabwe,Africa,14857190,512,6,64,442,34,0.4,52905,3561,Africa
